fid,lat,lon
1,52.20478579172314,6.654201077143423
2,52.20480633458987,6.654741592784388
3,52.20422350182993,6.655053085601987
4,52.20352901471993,6.656586708905438
5,52.20366420562905,6.657041956558414
6,52.20402740101866,6.657058243818854
7,52.20415065058734,6.657878484622072
8,52.20578582915354,6.658184511606087
9,52.20625096961756,6.656487269462259
10,52.20730767828677,6.655937336593896
11,52.20690483820009,6.654655022259879
12,52.2052568139448,6.654117107052182
13,52.20478579172314,6.654201077143423
